cnae,risco,codigo_louos,enquadramento1,perguntas,regras,condicionantes
1210-7/00,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
1220-4/01,ALTO,09.08.01,ID3-08,11,5,1|3|4|6|7|8|10
1220-4/01,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
1220-4/02,ALTO,09.08.01,ID3-08,11,5,1|3|4|6|7|8|10
1220-4/02,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
1220-4/03,ALTO,09.08.01,ID3-08,11,5,1|3|4|6|7|8|10
1220-4/03,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
1220-4/99,ALTO,09.08.02,ID3-08,11,5,1|3|4|6|7|8|10
1220-4/99,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
1311-1/00,ALTO,09.11.16,ID3-11,11,5,1|3|4|7|8|10
1311-1/00,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
1312-0/00,ALTO,09.11.16,ID3-11,11,5,1|3|4|7|8|10
1312-0/00,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
1313-8/00,ALTO,09.11.17,ID3-11,11,5,1|3|4|7|8|10
1313-8/00,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
1314-6/00,ALTO,09.11.15,ID3-11,11,5,1|3|4|7|8|10
1314-6/00,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
1321-9/00,ALTO,09.11.17,ID3-11,2|3,2|3,1|3|4|7|8|10
1321-9/00,BAIXO RISCO,07.09.05,nR1-09,2|3,2|3,1|3|4
1321-9/00,BAIXO RISCO,07.12.13,nR1-12,2|3,2|3,1|30
1322-7/00,ALTO,09.11.17,ID3-11,2|3,2|3,1|3|4|7|8|10
1322-7/00,BAIXO RISCO,07.09.05,nR1-09,2|3,2|3,1|3|4
1322-7/00,BAIXO RISCO,07.12.13,nR1-12,2|3,2|3,1|30
1323-5/00,ALTO,09.11.17,ID3-11,2|3,2|3,1|3|4|7|8|10
1323-5/00,BAIXO RISCO,07.09.05,nR1-09,2|3,2|3,1|3|4
1323-5/00,BAIXO RISCO,07.12.13,nR1-12,2|3,2|3,1|30
1330-8/00,ALTO,09.11.08,ID2-11,11,5,1|3|4|7|8|10
1330-8/00,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
1340-5/01,ALTO,09.11.20,ID3-11,2|3,2|3,1|3|4|7|8|10
