cnae,grupo,subgrupo,area_min,area_max,observacao
1610-2/03,ID2,ID2-09,0,,09.09.01
1610-2/04,nR2,nR2-09,0,,07.09.08
1610-2/05,nR1,nR1-09,0,350,07.09.17
1610-2/05,nR2,nR2-09,350.01,,07.09.17
1621-8/00,ID2,ID2-09,0,,09.09.02
1622-6/01,ID2,ID2-09,0,,09.09.02
1622-6/02,nR2,nR2-09,0,,07.09.08
1622-6/99,nR2,nR2-09,0,,07.09.08
1623-4/00,nR2,nR2-09,0,,07.09.08
1629-3/01,nR2,nR2-09,0,,07.09.08
1629-3/02,nR1,nR1-09,0,,07.09.01
1710-9/00,ID3,ID3-04,0,,09.04.02
1721-4/00,ID3,ID3-16,0,,09.16.02
1722-2/00,ID3,ID3-16,0,,09.16.02
1731-1/00,nR1,nR1-09,0,,07.09.01
1732-0/00,nR1,nR1-09,0,,07.09.01
1733-8/00,nR1,nR1-09,0,,07.09.01
1741-9/01,ID1,ID1-16,0,,09.16.01
1741-9/02,nR1,nR1-09,0,,07.09.01
1742-7/01,nR1,nR1-09,0,350,07.09.17
1742-7/01,nR2,nR2-09,350.01,,07.09.17
1742-7/02,ID1,ID1-16,0,,09.16.01
1742-7/99,nR1,nR1-09,0,,07.09.01
1749-4/00,nR1,nR1-09,0,350,07.09.17
1749-4/00,nR2,nR2-09,350.01,,07.09.17
1811-3/01,nR1,nR1-12,0,350,07.12.09
1811-3/01,nR2,nR2-12,350.01,,07.12.09
1811-3/02,ID3,ID3-06,0,,09.06.02
1812-1/00,nR1,nR1-12,0,350,07.12.09
1812-1/00,nR2,nR2-12,350.01,,07.12.09
1813-0/01,nR1,nR1-12,0,350,07.12.09
1813-0/01,nR2,nR2-12,350.01,,07.12.09
1813-0/99,nR1,nR1-12,0,350,07.12.09
1813-0/99,nR2,nR2-12,350.01,,07.12.09
1821-1/00,nR1,nR1-12,0,350,07.12.09
1821-1/00,nR2,nR2-12,350.01,,07.12.09
1822-9/01,nR1,nR1-12,0,350,07.12.09
1822-9/01,nR2,nR2-12,350.01,,07.12.09
1822-9/99,nR1,nR1-12,0,350,07.12.09
1822-9/99,nR2,nR2-12,350.01,,07.12.09
1830-0/01,nR1,nR1-12,0,350,07.12.08
1830-0/01,nR2,nR2-12,350.01,,07.12.08
1830-0/02,nR1,nR1-12,0,350,07.12.08
1830-0/02,nR2,nR2-12,350.01,,07.12.08
1830-0/03,nR1,nR1-12,0,350,07.12.08
1830-0/03,nR2,nR2-12,350.01,,07.12.08
1910-1/00,ID3,ID3-17,0,,09.17.01
1921-7/00,ID3,ID3-17,0,,09.17.02
1922-5/01,ID3,ID3-17,0,,09.17.03
1922-5/02,ID3,ID3-17,0,,09.17.03
1922-5/99,ID3,ID3-19,0,,09.17.24
1931-4/00,ID3,ID3-19,0,,09.19.01
1932-2/00,ID3,ID3-19,0,,09.19.05
2011-8/00,ID3,ID3-19,0,,09.19.02
2012-6/00,ID3,ID3-19,0,,09.19.25
2013-4/01,ID3,ID3-19,0,,09.19.13
2013-4/02,ID3,ID3-19,0,,09.19.13
2014-2/00,ID3,ID3-19,0,,09.19.03
2019-3/01,ID3,ID3-19,0,,09.19.04
2019-3/99,ID3,ID3-19,0,,09.19.04
2021-5/00,ID3,ID3-19,0,,09.19.26
2022-3/00,ID3,ID3-19,0,,09.19.27
2029-1/00,ID3,ID3-19,0,,09.19.32
2031-2/00,ID3,ID3-19,0,,09.19.14
2032-1/00,ID3,ID3-19,0,,09.19.14
2033-9/00,ID3,ID3-19,0,,09.19.14
2040-1/00,ID3,ID3-19,0,,09.19.15
2051-7/00,ID3,ID3-19,0,,09.19.16
2052-5/00,ID3,ID3-19,0,,09.19.21
2061-4/00,ID3,ID3-19,0,,09.19.07
2062-2/00,ID3,ID3-19,0,,09.19.17
2063-1/00,nR1,nR1-09,0,350,07.09.17
2063-1/00,nR2,nR2-09,350.01,,07.09.17
2071-1/00,ID3,ID3-19,0,,09.19.18
2072-0/00,ID3,ID3-19,0,,09.19.18
2073-8/00,ID3,ID3-19,0,,09.19.31
2091-6/00,ID3,ID3-19,0,,09.19.10
2092-4/01,ID3,ID3-19,0,,09.19.29
2092-4/02,ID3,ID3-19,0,,09.19.29
2092-4/03,ID3,ID3-19,0,,09.19.30
2093-2/00,ID3,ID3-19,0,,09.19.10
2094-1/00,ID3,ID3-19,0,,09.19.09
2099-1/01,ID3,ID3-19,0,,09.19.11
2099-1/99,ID3,ID3-19,0,,09.19.04
2110-6/00,ID3,ID3-19,0,,09.19.06
2121-1/01,ID3,ID3-19,0,,09.19.06
2121-1/02,nR1,nR1-09,0,350,07.09.17
2121-1/02,nR2,nR2-09,350.01,,07.09.17
2121-1/03,nR1,nR1-09,0,350,07.09.17
2121-1/03,nR2,nR2-09,350.01,,07.09.17
2122-0/00,ID3,ID3-19,0,,09.19.06
2123-8/00,ID3,ID3-19,0,,09.19.06
2211-1/00,ID3,ID3-03,0,,09.03.01
2212-9/00,ID3,ID3-03,0,,09.03.03
2219-6/00,ID3,ID3-13,0,,09.13.03
2221-8/00,ID3,ID3-13,0,,09.13.03
2222-6/00,nR1,nR1-09,0,350,07.09.17
2222-6/00,nR2,nR2-09,350.01,,07.09.17
2223-4/00,ID3,ID3-13,0,,09.13.03
2229-3/01,ID2,ID2-18,0,,09.18.01
2229-3/02,ID2,ID2-18,0,,09.18.01
2229-3/03,ID2,ID2-18,0,,09.18.01
2229-3/99,ID2,ID2-18,0,,09.18.01
2311-7/00,ID1,ID1-14,0,,09.14.01
2312-5/00,ID1,ID1-14,0,,09.14.01
2319-2/00,nR1,nR1-09,0,350,07.09.17
2319-2/00,nR2,nR2-09,350.01,,07.09.17
2320-6/00,ID3,ID3-14,0,,09.14.10
2330-3/01,ID3,ID3-14,0,,09.14.04
2330-3/02,ID3,ID3-13,0,,09.13.03
2330-3/03,ID3,ID3-14,0,,09.14.04
2330-3/04,ID1,ID1-14,0,,09.14.02
2330-3/05,ID1,ID1-14,0,,09.14.02
2330-3/99,nR1,nR1-09,0,350,07.09.17
2330-3/99,nR2,nR2-09,350.01,,07.09.17
2341-9/00,ID1,ID1-14,0,,09.14.02
2342-7/01,ID3,ID3-14,0,,09.14.05
2342-7/02,ID3,ID3-14,0,,09.14.05
2349-4/01,ID3,ID3-14,0,,09.14.05
2349-4/99,nR1,nR1-09,0,350,07.09.17
2349-4/99,nR2,nR2-09,350.01,,07.09.17
2391-5/01,ID3,ID3-21,0,,09.21.01
2391-5/02,nR2,nR2-09,0,,07.09.08
2391-5/03,nR2,nR2-09,0,,07.09.08
2392-3/00,ID3,ID3-14,0,,09.14.11
2399-1/01,nR2,nR2-09,0,,07.09.08
2399-1/02,ID3,ID3-13,0,,09.13.02
2399-1/99,ID3,ID3-14,0,,09.14.03
2411-3/00,ID3,ID3-13,0,,09.13.09
2412-1/00,ID3,ID3-13,0,,09.13.10
2421-1/00,ID3,ID3-13,0,,09.13.01
2422-9/01,ID3,ID3-13,0,,09.13.10
2422-9/02,ID3,ID3-13,0,,09.13.10
2423-7/01,ID3,ID3-13,0,,09.13.03
2423-7/02,ID3,ID3-13,0,,09.13.10
2424-5/01,ID3,ID3-13,0,,09.13.10
2424-5/02,ID3,ID3-13,0,,09.13.10
2431-8/00,ID3,ID3-13,0,,09.13.03
2439-3/00,ID3,ID3-13,0,,09.13.03
2441-5/01,ID3,ID3-13,0,,09.13.04
2441-5/02,ID3,ID3-13,0,,09.13.04
2442-3/00,ID3,ID3-13,0,,09.13.05
2443-1/00,ID3,ID3-13,0,,09.13.03
2449-1/01,ID3,ID3-13,0,,09.13.11
2449-1/02,ID3,ID3-13,0,,09.13.03
2449-1/03,ID3,ID3-13,0,,09.13.11
2449-1/99,ID3,ID3-13,0,,09.13.06
2451-2/00,ID3,ID3-13,0,,09.13.01
2452-1/00,ID3,ID3-13,0,,09.13.07
2511-0/00,nR2,nR2-09,0,,07.09.14
2512-8/00,nR2,nR2-09,0,,07.09.14
2513-6/00,ID3,ID3-13,0,,09.13.02
2521-7/00,ID3,ID3-13,0,,09.13.02
2522-5/00,ID3,ID3-13,0,,09.13.02
2531-4/01,ID3,ID3-13,0,,09.13.11
2531-4/02,ID3,ID3-13,0,,09.13.06
2532-2/01,nR2,nR2-09,0,,07.09.14
2532-2/02,ID3,ID3-13,0,,09.13.11
2539-0/01,nR2,nR2-09,0,,07.09.14
2539-0/02,nR2,nR2-09,0,,07.09.14
2541-1/00,ID3,ID3-12,0,,09.12.19
2542-0/00,nR2,nR2-09,0,,07.09.14
2543-8/00,ID3,ID3-13,0,,09.13.07
2550-1/01,ID3,ID3-12,0,,09.12.19
2550-1/02,ID3,ID3-12,0,,09.12.19
2591-8/00,ID3,ID3-13,0,,09.13.04
2592-6/01,ID3,ID3-13,0,,09.13.02
2592-6/02,ID3,ID3-13,0,,09.13.10
2593-4/00,ID3,ID3-13,0,,09.13.02
2599-3/01,nR2,nR2-09,0,,07.09.14
2599-3/02,nR2,nR2-09,0,,07.09.14
2599-3/99,nR2,nR2-09,0,,07.09.14
2610-8/00,nR1,nR1-09,0,350,07.09.17
2610-8/00,nR2,nR2-09,350.01,,07.09.17
2621-3/00,nR1,nR1-09,0,350,07.09.17
2621-3/00,nR2,nR2-09,350.01,,07.09.17
2622-1/00,ID1,ID1-12,0,,09.12.04
2631-1/00,ID3,ID3-10,0,,09.10.03
2632-9/00,ID3,ID3-10,0,,09.10.07
2640-0/00,ID3,ID3-10,0,,09.10.07
2651-5/00,ID1,ID1-12,0,,09.12.02
2652-3/00,ID1,ID1-12,0,,09.12.09
2660-4/00,ID1,ID1-12,0,,09.12.05
2670-1/01,ID1,ID1-12,0,,09.12.08
2670-1/02,ID1,ID1-12,0,,09.12.08
2680-9/00,ID3,ID3-19,0,,09.19.12
2710-4/01,nR1,nR1-09,0,350,07.09.17
2710-4/01,nR2,nR2-09,350.01,,07.09.17
2710-4/02,ID3,ID3-12,0,,09.12.14
2710-4/03,ID3,ID3-12,0,,09.12.14
2721-0/00,ID3,ID3-12,0,,09.12.14
2722-8/01,ID3,ID3-10,0,,09.10.01
2722-8/02,ID3,ID3-10,0,,09.10.01
2731-7/00,ID3,ID3-10,0,,09.10.04
2732-5/00,ID3,ID3-12,0,,09.12.14
2733-3/00,ID3,ID3-12,0,,09.12.14
2740-6/01,ID3,ID3-10,0,,09.10.02
2740-6/02,nR1,nR1-09,0,350,07.09.17
2740-6/02,nR2,nR2-09,350.01,,07.09.17
2751-1/00,ID3,ID3-12,0,,09.12.20
2759-7/01,ID3,ID3-10,0,,09.10.07
2759-7/99,ID3,ID3-12,0,,09.12.20
2790-2/01,ID3,ID3-10,0,,09.10.07
2790-2/02,ID3,ID3-10,0,,09.10.07
2790-2/99,nR1,nR1-09,0,350,07.09.17
2790-2/99,nR2,nR2-09,350.01,,07.09.17
2811-9/00,ID3,ID3-12,0,,09.12.12
2812-7/00,ID3,ID3-12,0,,09.12.12
2813-5/00,ID3,ID3-12,0,,09.12.12
2814-3/01,ID3,ID3-12,0,,09.12.12
2814-3/02,ID3,ID3-12,0,,09.12.12
