classe_via,grupo_uso,condicoes,base_legal
VL,nR4-04,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VC II,nR4-04,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VC I,nR4-04,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VA II,nR4-04,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VA I,nR4-04,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VE,nR4-04,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VP,nR4-05,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VL,nR4-05,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VC II,nR4-05,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VC I,nR4-05,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VA II,nR4-05,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VA I,nR4-05,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VE,nR4-05,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VP,nR4-06,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VL,nR4-06,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VC II,nR4-06,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VC I,nR4-06,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VA II,nR4-06,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VA I,nR4-06,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VE,nR4-06,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VP,ID1-02,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID1-02,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID1-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,ID1-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,ID1-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID1-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID1-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,ID1-12,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID1-12,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID1-12,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,ID1-12,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,ID1-12,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID1-12,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID1-12,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,ID1-14,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID1-14,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID1-14,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,ID1-14,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,ID1-14,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID1-14,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID1-14,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,ID1-16,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID1-16,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID1-16,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,ID1-16,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,ID1-16,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID1-16,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID1-16,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,ID2-02,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID2-02,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID2-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,ID2-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,ID2-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID2-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID2-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,ID2-05,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID2-05,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID2-05,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,ID2-05,Sim,Lei nº 9.148/2016 — Quadro 11A
